Track name,Artist name,Album name,Spotify ID,Spotify URL,Taste Match,Mood,Local Filename
Chillin,Modjo,2020 April,3Nxw6eeFpBwUbxVuSY6NC0,https://open.spotify.com/track/3Nxw6eeFpBwUbxVuSY6NC0,94%,Retro Dance & Pop-Rock,Modjo - Chillin'.mp3
Why Am I Crying,Molly Sandén,2020 July,0hNu9mP4Fp5hqiitdrzDKo,https://open.spotify.com/track/0hNu9mP4Fp5hqiitdrzDKo,94%,Retro Dance & Pop-Rock,Molly Sandén - Why Am I Crying.mp3
Do It All Again,Mr. Probz,2017 April,30BmXzCbYI1BXAEW0ybelV,https://open.spotify.com/track/30BmXzCbYI1BXAEW0ybelV,94%,Retro Dance & Pop-Rock,Mr. Probz - Do It All Again.mp3
These Words,Natasha Bedingfield,2017 April,7leW1Dmvs9A4oDh9i5Qwpz,https://open.spotify.com/track/7leW1Dmvs9A4oDh9i5Qwpz,94%,Retro Dance & Pop-Rock,Natasha Bedingfield - These Words.mp3
Gravity (ft. Marie Beeckman),Nicolas Haelg,2017 March,0dfyqostAKpoocV5er24Y6,https://open.spotify.com/track/0dfyqostAKpoocV5er24Y6,94%,Retro Dance & Pop-Rock,Nicolas Haelg - Gravity (ft. Marie Beeckman).mp3
Push The Feeling On (Mk Dub Revisited Edit),Nightcrawlers,2020 July,1EWsVHU4FNAdtN4R8FETag,https://open.spotify.com/track/1EWsVHU4FNAdtN4R8FETag,94%,Retro Dance & Pop-Rock,Nightcrawlers - Push The Feeling On (Mk Dub Revisited Edit).mp3
Bring Me Home,Oliver Koletzki,2018 December,2ubcWBXdlKChdJYZBmJ7Vw,https://open.spotify.com/track/2ubcWBXdlKChdJYZBmJ7Vw,94%,Retro Dance & Pop-Rock,Oliver Koletzki - Bring Me Home [www.slider.kz].mp3
Rich Love,OneRepublic,2020 April,7dOeiXeTSfA1ixaYmQcWu7,https://open.spotify.com/track/7dOeiXeTSfA1ixaYmQcWu7,94%,Retro Dance & Pop-Rock,OneRepublic - Rich Love.mp3
Canon In D (Piano and Violin Duet),Pachelbel's Canon In D Major,2020 April,1c3GkbZBnyrQ1cm4TGHFrK,https://open.spotify.com/track/1c3GkbZBnyrQ1cm4TGHFrK,94%,Retro Dance & Pop-Rock,Pachelbel's Canon In D Major - Canon In D (Piano and Violin Duet).mp3
Song for Sienna (Piano and Cello Duet),Pachelbel's Canon In D Major,2020 April,5Slzwrokrrh2TgyfzE9Vfi,https://open.spotify.com/track/5Slzwrokrrh2TgyfzE9Vfi,94%,Retro Dance & Pop-Rock,Pachelbel's Canon In D Major - Song for Sienna (Piano and Cello Duet).mp3
Crying In the Rain,Peter And Gordon,2020 July,6Vc4ALuxIAZWjtlEqhSd0a,https://open.spotify.com/track/6Vc4ALuxIAZWjtlEqhSd0a,94%,Retro Dance & Pop-Rock,Peter And Gordon - Crying In the Rain.mp3
One Day I'll Fly Away,Randy Crawford,2020 July,0J8A1ZVyJcRZxFNvtp6jRh,https://open.spotify.com/track/0J8A1ZVyJcRZxFNvtp6jRh,94%,Retro Dance & Pop-Rock,Randy Crawford - One Day I'll Fly Away.mp3
Livin' la Vida Loca,Ricky Martin,2019 April,0Ph6L4l8dYUuXFmb71Ajnd,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd,94%,Retro Dance & Pop-Rock,Ricky Martin - Livin' la Vida Loca [www.slider.kz].mp3
María,Ricky Martin,2019 April,4bNqBlJkoueiFla9YsyNg9,https://open.spotify.com/track/4bNqBlJkoueiFla9YsyNg9,94%,Retro Dance & Pop-Rock,Ricky Martin - María [www.slider.kz].mp3
Disturbia,Rihanna,2018 August,2VOomzT6VavJOGBeySqaMc,https://open.spotify.com/track/2VOomzT6VavJOGBeySqaMc,94%,Retro Dance & Pop-Rock,Rihanna - Disturbia.mp3
sos,rihanna,2016 June,30cSNer6TV8x2utjULVeQ5,https://open.spotify.com/track/30cSNer6TV8x2utjULVeQ5,94%,Retro Dance & Pop-Rock,rihanna-sos[mp3freex].mp3
I Want to Thank You,Robin S,2020 June,3mOCAHNmIp2kGP7QdnJFup,https://open.spotify.com/track/3mOCAHNmIp2kGP7QdnJFup,94%,Retro Dance & Pop-Rock,Robin S - I Want to Thank You.mp3
Love Don't Live Here Anymore,Rose Royce,2020 July,0BFE1yb6HN2lZ0VoGXnYLl,https://open.spotify.com/track/0BFE1yb6HN2lZ0VoGXnYLl,94%,Retro Dance & Pop-Rock,Rose Royce - Love Don't Live Here Anymore.mp3
The Look,Roxette,2019 April,1Pf6bdSTw4EpyDY9H5I2Eg,https://open.spotify.com/track/1Pf6bdSTw4EpyDY9H5I2Eg,94%,Retro Dance & Pop-Rock,Roxette - The Look [www.slider.kz].mp3
Smooth,Santana feat. Rob Thomas,2019 April,2pX4FpOgwItRVPPUFdRcxA,https://open.spotify.com/track/2pX4FpOgwItRVPPUFdRcxA,94%,Retro Dance & Pop-Rock,Santana feat. Rob Thomas - Smooth [www.slider.kz].mp3
Breathe,SeeB,2020 April,0CvTKt7jr68v4YEg9oATjX,https://open.spotify.com/track/0CvTKt7jr68v4YEg9oATjX,94%,Retro Dance & Pop-Rock,SeeB - Breathe.mp3
"Whenever, Wherever",Shakira,2019 April,2lnzGkdtDj5mtlcOW2yRtG,https://open.spotify.com/track/2lnzGkdtDj5mtlcOW2yRtG,94%,Retro Dance & Pop-Rock,"Shakira - Whenever, Wherever [www.slider.kz].mp3"
Ev'ry Time We Say Goodbye,Shirley Bassey,2020 July,6bRW2pcapPwvZmZOFeYX5m,https://open.spotify.com/track/6bRW2pcapPwvZmZOFeYX5m,94%,Retro Dance & Pop-Rock,Shirley Bassey - Ev'ry Time We Say Goodbye.mp3
Dil La Ley,Shweta Shetty,2020 October,2mND0PX2tmQEylwfZDTF2F,https://open.spotify.com/track/2mND0PX2tmQEylwfZDTF2F,94%,Retro Dance & Pop-Rock,Shweta Shetty - Dil La Ley.mp3
cheap thrills ft. sean paul,sia,2018 June,6b3b7lILUJqXcp6w9wNQSm,https://open.spotify.com/track/6b3b7lILUJqXcp6w9wNQSm,94%,Retro Dance & Pop-Rock,sia - cheap thrills ft. sean paul.mp3
Never Give Up,Sia,2016 December,1ssmjAYSU5PbmsjLq5yrNH,https://open.spotify.com/track/1ssmjAYSU5PbmsjLq5yrNH,94%,Retro Dance & Pop-Rock,Sia - Never Give Up.mp3
Everchanging Times (From _Baby Boom_),Siedah Garrett,2020 July,2bePeU6mGQy4s5kaRt1Eov,https://open.spotify.com/track/2bePeU6mGQy4s5kaRt1Eov,94%,Retro Dance & Pop-Rock,Siedah Garrett - Everchanging Times (From _Baby Boom_).mp3
Love The Way You Move,Slightly Left of Centre,2020 May,1xjWiOCXBADVo6NUfbPgGR,https://open.spotify.com/track/1xjWiOCXBADVo6NUfbPgGR,94%,Retro Dance & Pop-Rock,Slightly Left of Centre - Love The Way You Move.mp3
All Star,Smash Mouth,2019 April,3cfOd4CMv2snFaKAnMdnvK,https://open.spotify.com/track/3cfOd4CMv2snFaKAnMdnvK,94%,Retro Dance & Pop-Rock,Smash Mouth - All Star [www.slider.kz].mp3
Music Sounds Better with You,Stardust,2017 November,303ccTay2FiDTZ9fZ2AdBt,https://open.spotify.com/track/303ccTay2FiDTZ9fZ2AdBt,94%,Retro Dance & Pop-Rock,Stardust - Music Sounds Better with You.mp3
Alors On Danse,Stromae,2018 September,2zijZVGwRB9vAP2UkOS9nF,https://open.spotify.com/track/2zijZVGwRB9vAP2UkOS9nF,94%,Retro Dance & Pop-Rock,01. Stromae - Alors On Danse.mp3
Hey Mamma,Sunstroke Project,2017 November,7EfS0QO3m5tZlKZEzcvWaG,https://open.spotify.com/track/7EfS0QO3m5tZlKZEzcvWaG,94%,Retro Dance & Pop-Rock,Sunstroke Project - Hey Mamma.mp3
Sweet Like Candy,"Terry Lex, Sean David",2018 September,2TQC9X8fjMKVqkjxMXOdQX,https://open.spotify.com/track/2TQC9X8fjMKVqkjxMXOdQX,94%,Retro Dance & Pop-Rock,"Terry Lex, Sean David - Sweet Like Candy [www.slider.kz].mp3"
Back & Forth,The Aston Shuffle feat. Elizabeth Rose,2018 September,6Qs59N0gv9DDwqDMjtSQLq,https://open.spotify.com/track/6Qs59N0gv9DDwqDMjtSQLq,94%,Retro Dance & Pop-Rock,The Aston Shuffle feat. Elizabeth Rose - Back & Forth [www.slider.kz].mp3
Goodbye My Lover Goodbye,The Jimmy Castor Bunch,2020 July,6swJqx96cWSJ7D8LhRBvtu,https://open.spotify.com/track/6swJqx96cWSJ7D8LhRBvtu,94%,Retro Dance & Pop-Rock,The Jimmy Castor Bunch - Goodbye My Lover Goodbye.mp3
The Wolven Storm (ENG),The Witcher,2019 January,3AAjrih6L1KkXNmMR9w8hf,https://open.spotify.com/track/3AAjrih6L1KkXNmMR9w8hf,94%,Retro Dance & Pop-Rock,The Witcher - The Wolven Storm (ENG) [www.slider.kz].mp3
Intro,The XX,2018 September,2usrT8QIbIk9y0NEtQwS4j,https://open.spotify.com/track/2usrT8QIbIk9y0NEtQwS4j,94%,Buddha Bar Lounge,The XX - Intro  [www.slider.kz].mp3
Morning After Dark (Featuring Nelly Furtado & SoShy),Timbaland,2018 August,6mmtxbG5pzkrJ0BrSdg9uW,https://open.spotify.com/track/6mmtxbG5pzkrJ0BrSdg9uW,94%,Retro Dance & Pop-Rock,Timbaland - Morning After Dark (Featuring Nelly Furtado & SoShy) [www.slider.kz].mp3
Time (From _Inception_),Tina Guo,2020 June,0S5aqKj50T09c3zgW8QJer,https://open.spotify.com/track/0S5aqKj50T09c3zgW8QJer,94%,Retro Dance & Pop-Rock,Tina Guo - Time (From _Inception_).mp3
Tarzan & Jane,Toy-Box,2019 April,2R3gfyDoBo0uXZSwTiKysZ,https://open.spotify.com/track/2R3gfyDoBo0uXZSwTiKysZ,94%,Retro Dance & Pop-Rock,Toy-Box - Tarzan & Jane [www.slider.kz].mp3
Tara,Vanotek feat. Eneli,2018 August,6iT9eBCKqdGn9oVVfy1Icj,https://open.spotify.com/track/6iT9eBCKqdGn9oVVfy1Icj,94%,Retro Dance & Pop-Rock,Vanotek feat. Eneli - Tara [www.slider.kz].mp3
alanis-morissette-crazy,Various Artists,2016 June,7bYNwDlRsuMnELAat8w612,https://open.spotify.com/track/7bYNwDlRsuMnELAat8w612,94%,Retro Dance & Pop-Rock,alanis-morissette-crazy[mp3freex].mp3
atif-aslam-tere-bin-tere-bin-main-yun-kaise-jiya-kaise-jiya-tere-bin,Various Artists,2016 June,3DpedytYku64Hjf51064vO,https://open.spotify.com/track/3DpedytYku64Hjf51064vO,94%,Retro Dance & Pop-Rock,atif-aslam-tere-bin-tere-bin-main-yun-kaise-jiya-kaise-jiya-tere-bin[mp3freex].mp3
blank-amp-jones-with-katja-werker-cruel-love,Various Artists,2016 June,5M1t034NRzglxdfbYUSjSg,https://open.spotify.com/track/5M1t034NRzglxdfbYUSjSg,94%,Retro Dance & Pop-Rock,blank-amp-jones-with-katja-werker-cruel-love[mp3freex].mp3
